"","x"
"205",552.253521552583
"206",474.069419450157
"207",474.401238003289
"208",677.719069938747
"209",482.452634751768
"210",710.330981467082
"211",477.492124534984
"212",753.070157178961
"213",474.401238003289
"214",504.963551482204
"215",681.268130893094
"216",505.135072976675
"217",505.135072976675
"218",525.773624562489
"219",474.069419450157
"220",474.069419450157
"221",724.943466737583
"222",677.719069938747
"223",552.253521552583
"224",505.135072976675
"225",523.446040800419
"226",478.734526016744
"227",482.452634751768
"228",522.91778446201
"229",474.133548035499
"230",724.943466737583
"231",509.418855397801
"232",583.113764327627
"233",522.91778446201
"234",679.297992643548
"235",522.91778446201
"236",710.330981467082
"237",504.963551482204
"238",536.934703048691
"239",523.446040800419
"240",504.963551482204
"241",474.069419450157
"242",509.418855397801
"243",523.446040800419
"244",478.734526016744
"245",474.401238003289
"246",505.135072976675
"247",525.773624562489
"248",552.253521552583
"249",554.867389900277
"250",522.91778446201
"251",552.253521552583
"252",474.401238003289
"253",522.91778446201
"254",522.91778446201
"255",474.069419450157
"256",570.341823492341
"257",523.446040800419
"258",681.268130893094
"259",474.401238003289
"260",552.253521552583
"261",504.963551482204
"262",753.070157178961
"263",482.452634751768
"264",474.069419450157
"265",710.330981467082
"266",710.330981467082
"267",474.069419450157
"268",474.069419450157
"269",554.867389900277
"270",474.069419450157
"271",677.719069938747
"272",724.943466737583
"273",550.684647903902
"274",474.069419450157
"275",482.452634751768
"276",552.253521552583
"277",883.249217688908
"278",550.684647903902
"279",522.91778446201
"280",710.330981467082
"281",753.070157178961
"282",583.113764327627
"283",679.297992643548
"284",522.91778446201
"285",504.963551482204
"286",554.867389900277
"287",482.452634751768
"288",522.91778446201
"289",724.943466737583
"290",681.268130893094
"291",710.330981467082
"292",509.418855397801
"293",505.135072976675
"294",477.492124534984
"295",550.684647903902
"296",474.069419450157
"297",553.962150294674
"298",536.934703048691
"299",679.297992643548
"300",597.987843446954
"301",474.133548035499
"302",478.734526016744
"303",552.253521552583
"304",710.330981467082
"305",554.867389900277
"306",550.684647903902
"307",583.113764327627
"308",550.684647903902
"309",474.401238003289
"310",474.133548035499
"311",552.253521552583
"312",504.963551482204
"313",677.719069938747
"314",625.990945390953
"315",597.987843446954
"316",504.963551482204
"317",597.987843446954
"318",597.987843446954
"319",597.987843446954
"320",474.133548035499
"321",474.401238003289
"322",553.962150294674
"323",553.962150294674
"324",583.113764327627
"325",677.719069938747
"326",525.773624562489
"327",550.684647903902
"328",523.446040800419
"329",597.987843446954
"330",522.91778446201
"331",625.990945390953
"332",474.069419450157
"333",724.943466737583
"334",679.297992643548
"335",478.734526016744
"336",583.113764327627
"337",554.867389900277
"338",753.070157178961
"339",597.987843446954
"340",677.719069938747
"341",753.070157178961
"342",724.943466737583
"343",522.91778446201
"344",509.418855397801
"345",478.734526016744
"346",509.418855397801
"347",570.341823492341
"348",724.943466737583
"349",536.934703048691
"350",681.268130893094
"351",710.330981467082
"352",477.492124534984
"353",570.341823492341
"354",522.91778446201
"355",597.987843446954
"356",553.962150294674
"357",482.452634751768
"358",553.962150294674
"359",482.452634751768
"360",724.943466737583
"361",478.734526016744
"362",710.330981467082
"363",597.987843446954
"364",679.297992643548
"365",883.249217688908
"366",679.297992643548
"367",478.734526016744
"368",474.069419450157
"369",474.401238003289
"370",523.446040800419
"371",710.330981467082
"372",583.113764327627
"373",523.446040800419
"374",681.268130893094
"375",625.990945390953
"376",681.268130893094
"377",553.962150294674
"378",597.987843446954
"379",474.069419450157
"380",522.91778446201
"381",710.330981467082
"382",677.719069938747
"383",477.492124534984
"384",681.268130893094
"385",570.341823492341
"386",753.070157178961
"387",550.684647903902
"388",677.719069938747
"389",679.297992643548
"390",505.135072976675
"391",753.070157178961
"392",552.253521552583
"393",677.719069938747
"394",536.934703048691
"395",883.249217688908
"396",583.113764327627
"397",536.934703048691
"398",504.963551482204
"399",710.330981467082
"400",505.135072976675
"401",583.113764327627
"402",474.069419450157
"403",550.684647903902
"404",583.113764327627
"405",583.113764327627
"406",509.418855397801
"407",625.990945390953
"408",681.268130893094
"409",679.297992643548
"410",509.418855397801
"411",677.719069938747
"412",553.962150294674
"413",597.987843446954
"414",554.867389900277
"415",553.962150294674
"416",525.773624562489
"417",710.330981467082
"418",554.867389900277
"419",681.268130893094
"420",522.91778446201
"421",553.962150294674
"422",681.268130893094
"423",710.330981467082
"424",474.069419450157
"425",478.734526016744
"426",625.990945390953
"427",679.297992643548
"428",505.135072976675
"429",505.135072976675
"430",522.91778446201
"431",552.253521552583
"432",504.963551482204
"433",570.341823492341
"434",677.719069938747
"435",505.135072976675
"436",509.418855397801
"437",597.987843446954
"438",482.452634751768
"439",482.452634751768
"440",536.934703048691
"441",482.452634751768
"442",552.253521552583
"443",883.249217688908
"444",474.133548035499
"445",553.962150294674
"446",505.135072976675
"447",753.070157178961
"448",570.341823492341
"449",474.133548035499
"450",536.934703048691
"451",505.135072976675
"452",583.113764327627
"453",681.268130893094
"454",724.943466737583
"455",553.962150294674
"456",525.773624562489
"457",597.987843446954
"458",724.943466737583
"459",679.297992643548
"460",505.135072976675
"461",753.070157178961
"462",477.492124534984
"463",474.069419450157
"464",509.418855397801
"465",583.113764327627
"466",474.401238003289
"467",550.684647903902
"468",554.867389900277
"469",482.452634751768
"470",525.773624562489
"471",724.943466737583
"472",509.418855397801
"473",477.492124534984
"474",536.934703048691
"475",505.135072976675
"476",554.867389900277
"477",681.268130893094
"478",554.867389900277
"479",474.133548035499
"480",553.962150294674
"481",504.963551482204
"482",553.962150294674
"483",477.492124534984
"484",523.446040800419
"485",679.297992643548
"486",552.253521552583
"487",583.113764327627
"488",553.962150294674
"489",552.253521552583
"490",536.934703048691
"491",525.773624562489
"492",625.990945390953
"493",724.943466737583
"494",509.418855397801
"495",474.069419450157
"496",482.452634751768
"497",597.987843446954
"498",677.719069938747
"499",710.330981467082
"500",570.341823492341
