,House,EnergyProduction
258,259,538.29584
259,260,581.07556
260,261,497.619
261,262,808.473
262,263,490.77432
263,264,521.99567
264,265,724.9675
265,266,724.9675
266,267,521.99567
267,268,521.99567
268,269,573.419
269,270,521.99567
270,271,749.3555
271,272,808.6756
272,273,597.3273
273,274,521.99567
274,275,490.77432
275,276,581.07556
276,277,960.9302
277,278,597.3273
278,279,597.2364
279,280,724.9675
280,281,808.473
281,282,572.9392
282,283,733.19824
283,284,597.2364
284,285,497.619
285,286,573.419
286,287,490.77432
287,288,597.2364
288,289,808.6756
289,290,725.6116
290,291,724.9675
291,292,489.9754
292,293,513.80884
293,294,514.2507
294,295,597.3273
295,296,521.99567
296,297,572.899
297,298,489.5335
298,299,733.19824
299,300,656.41486
300,301,506.1126
301,302,498.21207
302,303,581.07556
303,304,724.9675
304,305,573.419
305,306,597.3273
306,307,572.9392
307,308,597.3273
308,309,538.29584
309,310,506.1126
310,311,581.07556
311,312,497.619
312,313,749.3555
313,314,656.54346
314,315,656.41486
315,316,497.619
316,317,656.41486
317,318,656.41486
318,319,656.41486
319,320,506.1126
320,321,538.29584
321,322,572.899
322,323,572.899
323,324,572.9392
324,325,749.3555
325,326,573.4586
326,327,597.3273
327,328,581.0883
328,329,656.41486
329,330,597.2364
330,331,656.54346
331,332,521.99567
332,333,808.6756
333,334,733.19824
334,335,498.21207
335,336,572.9392
336,337,573.419
337,338,808.473
338,339,656.41486
339,340,749.3555
340,341,808.473
341,342,808.6756
342,343,597.2364
343,344,489.9754
344,345,498.21207
345,346,489.9754
346,347,656.76044
347,348,808.6756
348,349,489.5335
349,350,725.6116
350,351,724.9675
351,352,514.2507
352,353,656.76044
353,354,597.2364
354,355,656.41486
355,356,572.899
356,357,490.77432
357,358,572.899
358,359,490.77432
359,360,808.6756
360,361,498.21207
361,362,724.9675
362,363,656.41486
363,364,733.19824
364,365,960.9302
365,366,733.19824
366,367,498.21207
367,368,521.99567
368,369,538.29584
369,370,581.0883
370,371,724.9675
371,372,572.9392
372,373,581.0883
373,374,725.6116
374,375,656.54346
375,376,725.6116
376,377,572.899
377,378,656.41486
378,379,521.99567
379,380,597.2364
380,381,724.9675
381,382,749.3555
382,383,514.2507
383,384,725.6116
384,385,656.76044
385,386,808.473
386,387,597.3273
387,388,749.3555
388,389,733.19824
389,390,513.80884
390,391,808.473
391,392,581.07556
392,393,749.3555
393,394,489.5335
394,395,960.9302
395,396,572.9392
396,397,489.5335
397,398,497.619
398,399,724.9675
399,400,513.80884
400,401,572.9392
401,402,521.99567
402,403,597.3273
403,404,572.9392
404,405,572.9392
405,406,489.9754
406,407,656.54346
407,408,725.6116
408,409,733.19824
409,410,489.9754
410,411,749.3555
411,412,572.899
412,413,656.41486
413,414,573.419
414,415,572.899
415,416,573.4586
416,417,724.9675
417,418,573.419
418,419,725.6116
419,420,597.2364
420,421,572.899
421,422,725.6116
422,423,724.9675
423,424,521.99567
424,425,498.21207
425,426,656.54346
426,427,733.19824
427,428,513.80884
428,429,513.80884
429,430,597.2364
430,431,581.07556
431,432,497.619
432,433,656.76044
433,434,749.3555
434,435,513.80884
435,436,489.9754
436,437,656.41486
437,438,490.77432
438,439,490.77432
439,440,489.5335
440,441,490.77432
441,442,581.07556
442,443,960.9302
443,444,506.1126
444,445,572.899
445,446,513.80884
446,447,808.473
447,448,656.76044
448,449,506.1126
449,450,489.5335
450,451,513.80884
451,452,572.9392
452,453,725.6116
453,454,808.6756
454,455,572.899
455,456,573.4586
456,457,656.41486
457,458,808.6756
458,459,733.19824
459,460,513.80884
460,461,808.473
461,462,514.2507
462,463,521.99567
463,464,489.9754
464,465,572.9392
465,466,538.29584
466,467,597.3273
467,468,573.419
468,469,490.77432
469,470,573.4586
470,471,808.6756
471,472,489.9754
472,473,514.2507
473,474,489.5335
474,475,513.80884
475,476,573.419
476,477,725.6116
477,478,573.419
478,479,506.1126
479,480,572.899
480,481,497.619
481,482,572.899
482,483,514.2507
483,484,581.0883
484,485,733.19824
485,486,581.07556
486,487,572.9392
487,488,572.899
488,489,581.07556
489,490,489.5335
490,491,573.4586
491,492,656.54346
492,493,808.6756
493,494,489.9754
494,495,521.99567
495,496,490.77432
496,497,656.41486
497,498,749.3555
498,499,724.9675
499,500,656.76044
